state,university/college,campus,student_enrollment,total_law_enforcement__employees,total_officers,total_civilians
CALIFORNIA,California State University:,California State University: San Bernardino,18952.0,25.0,15.0,10.0
CALIFORNIA,California State University:,California State University: San Jose,32713.0,77.0,29.0,48.0
CALIFORNIA,California State University:,California State University: San Marcos,12154.0,28.0,21.0,7.0
CALIFORNIA,California State University:,California State University: Stanislaus,9045.0,17.0,11.0,6.0
CALIFORNIA,College of the Sequoias,College of the Sequoias main,10647.0,5.0,4.0,1.0
CALIFORNIA,Contra Costa Community College,Contra Costa Community College main,35481.0,34.0,21.0,13.0
CALIFORNIA,Cuesta College,Cuesta College main,9221.0,12.0,7.0,5.0
CALIFORNIA,El Camino College,El Camino College main,24207.0,32.0,25.0,7.0
CALIFORNIA,Foothill-De Anza College,Foothill-De Anza College main,38134.0,15.0,10.0,5.0
CALIFORNIA,Humboldt State University,Humboldt State University main,8485.0,19.0,12.0,7.0
CALIFORNIA,Marin Community College,Marin Community College main,5500.0,7.0,6.0,1.0
CALIFORNIA,Pasadena Community College,Pasadena Community College main,26611.0,11.0,6.0,5.0
CALIFORNIA,Riverside Community College,Riverside Community College main,36582.0,23.0,18.0,5.0
CALIFORNIA,San Bernardino Community College,San Bernardino Community College main,18897.0,20.0,7.0,13.0
CALIFORNIA,San Diego State University,San Diego State University main,33483.0,47.0,24.0,23.0
CALIFORNIA,San Francisco State University,San Francisco State University main,29465.0,53.0,27.0,26.0
CALIFORNIA,San Jose/Evergreen Community College,San Jose/Evergreen Community College main,18205.0,11.0,4.0,7.0
CALIFORNIA,Santa Rosa Junior College,Santa Rosa Junior College main,23144.0,26.0,14.0,12.0
CALIFORNIA,Sonoma State University,Sonoma State University main,9290.0,27.0,13.0,14.0
CALIFORNIA,State Center Community College District,State Center Community College District main,36940.0,33.0,12.0,21.0
CALIFORNIA,University of California:,University of California: Berkeley,37565.0,151.0,65.0,86.0
CALIFORNIA,University of California:,University of California: Davis,34508.0,83.0,43.0,40.0
CALIFORNIA,University of California:,University of California: Hastings College of Law,1003.0,7.0,7.0,0.0
CALIFORNIA,University of California:,University of California: Irvine,30051.0,54.0,33.0,21.0
CALIFORNIA,University of California:,University of California: Los Angeles,41845.0,98.0,60.0,38.0
CALIFORNIA,University of California:,University of California: Merced,6268.0,20.0,12.0,8.0
CALIFORNIA,University of California:,University of California: Riverside,21498.0,44.0,31.0,13.0
CALIFORNIA,University of California:,University of California: San Diego,30709.0,64.0,37.0,27.0
CALIFORNIA,University of California:,University of California: San Francisco,3170.0,118.0,45.0,73.0
CALIFORNIA,University of California:,University of California: Santa Barbara,23051.0,50.0,37.0,13.0
CALIFORNIA,University of California:,University of California: Santa Cruz,17866.0,30.0,18.0,12.0
CALIFORNIA,Ventura County Community College District,Ventura County Community College District main,33956.0,16.0,15.0,1.0
CALIFORNIA,West Valley-Mission College,West Valley-Mission College main,17497.0,13.0,9.0,4.0
COLORADO,Adams State University,Adams State University main,3154.0,4.0,4.0,0.0
COLORADO,Arapahoe Community College,Arapahoe Community College main,10401.0,12.0,8.0,4.0
COLORADO,Auraria Higher Education Center2,Auraria Higher Education Center2 main,0.0,44.0,29.0,15.0
COLORADO,Colorado School of Mines,Colorado School of Mines main,5962.0,11.0,10.0,1.0
COLORADO,Colorado State University,Colorado State University Fort Collins,31354.0,41.0,28.0,13.0
COLORADO,Fort Lewis College,Fort Lewis College main,3791.0,10.0,8.0,2.0
COLORADO,Pikes Peak Community College,Pikes Peak Community College main,13947.0,20.0,18.0,2.0
COLORADO,Red Rocks Community College,Red Rocks Community College main,8112.0,6.0,3.0,3.0
COLORADO,University of Colorado:,University of Colorado: Boulder,32432.0,79.0,41.0,38.0
COLORADO,University of Colorado:,University of Colorado: Colorado Springs,11761.0,28.0,17.0,11.0
COLORADO,University of Colorado:,University of Colorado: Denver,22791.0,82.0,25.0,57.0
COLORADO,University of Northern Colorado,University of Northern Colorado main,12050.0,22.0,15.0,7.0
CONNECTICUT,Central Connecticut State University,Central Connecticut State University main,12037.0,27.0,20.0,7.0
CONNECTICUT,Eastern Connecticut State University,Eastern Connecticut State University main,5287.0,26.0,16.0,10.0
CONNECTICUT,Southern Connecticut State University,Southern Connecticut State University main,10825.0,33.0,28.0,5.0
CONNECTICUT,University of Connecticut:,University of Connecticut: Health Center2,0.0,36.0,15.0,21.0
CONNECTICUT,University of Connecticut:,"University of Connecticut: Storrs, Avery Point and Hartford2",0.0,81.0,72.0,9.0
CONNECTICUT,Western Connecticut State University,Western Connecticut State University main,5952.0,21.0,15.0,6.0
CONNECTICUT,Yale University,Yale University main,12336.0,101.0,86.0,15.0
DELAWARE,Delaware State University,Delaware State University main,4397.0,34.0,17.0,17.0
DELAWARE,University of Delaware,University of Delaware main,22680.0,76.0,50.0,26.0
FLORIDA,Florida A&M University,Florida A&M University main,10241.0,36.0,30.0,6.0
FLORIDA,Florida Atlantic University,Florida Atlantic University main,30297.0,62.0,37.0,25.0
FLORIDA,Florida Gulf Coast University,Florida Gulf Coast University main,14473.0,24.0,18.0,6.0
FLORIDA,Florida International University,Florida International University main,49610.0,74.0,48.0,26.0
FLORIDA,Florida SouthWestern State College,Florida SouthWestern State College main,15389.0,19.0,10.0,9.0
FLORIDA,New College of Florida,New College of Florida main,834.0,20.0,13.0,7.0
FLORIDA,Pensacola State College,Pensacola State College main,10317.0,12.0,9.0,3.0
FLORIDA,Santa Fe College,Santa Fe College main,15055.0,21.0,15.0,6.0
FLORIDA,Tallahassee Community College,Tallahassee Community College main,13049.0,24.0,12.0,12.0
FLORIDA,University of Central Florida,University of Central Florida main,60767.0,124.0,69.0,55.0
FLORIDA,University of Florida,University of Florida main,49459.0,130.0,86.0,44.0
FLORIDA,University of North Florida,University of North Florida main,15984.0,38.0,29.0,9.0
FLORIDA,University of South Florida:,University of South Florida: St. Petersburg,4491.0,21.0,15.0,6.0
FLORIDA,University of South Florida:,University of South Florida: Tampa,41938.0,68.0,53.0,15.0
FLORIDA,University of West Florida,University of West Florida main,12602.0,31.0,21.0,10.0
GEORGIA,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College main,3458.0,13.0,12.0,1.0
GEORGIA,Augusta Technical College,Augusta Technical College main,4269.0,2.0,2.0,0.0
GEORGIA,Bainbridge State College,Bainbridge State College main,2470.0,8.0,5.0,3.0
GEORGIA,Berry College,Berry College main,2177.0,17.0,12.0,5.0
GEORGIA,Chattahoochee Technical College,Chattahoochee Technical College main,9942.0,11.0,9.0,2.0
GEORGIA,Clayton State University,Clayton State University main,7022.0,30.0,18.0,12.0
GEORGIA,College of Coastal Georgia,College of Coastal Georgia main,3008.0,12.0,12.0,0.0
GEORGIA,Columbus State University,Columbus State University main,8192.0,30.0,23.0,7.0
GEORGIA,Dalton State College,Dalton State College main,4854.0,16.0,13.0,3.0
GEORGIA,Darton State College,Darton State College main,5623.0,10.0,9.0,1.0
GEORGIA,Emory University,Emory University main,14769.0,75.0,56.0,19.0
GEORGIA,Fort Valley State University,Fort Valley State University main,2594.0,35.0,13.0,22.0
GEORGIA,Georgia College and State University,Georgia College and State University main,6772.0,24.0,17.0,7.0
GEORGIA,Georgia Institute of Technology,Georgia Institute of Technology main,23109.0,93.0,68.0,25.0
GEORGIA,Georgia Military College,Georgia Military College main,7262.0,5.0,3.0,2.0
GEORGIA,Georgia Perimeter College,Georgia Perimeter College main,21371.0,98.0,46.0,52.0
GEORGIA,Georgia Regents University,Georgia Regents University main,7988.0,64.0,46.0,18.0
GEORGIA,Georgia Southern University,Georgia Southern University main,20517.0,45.0,36.0,9.0
GEORGIA,Georgia Southwestern State University,Georgia Southwestern State University main,2666.0,12.0,12.0,0.0
GEORGIA,Georgia State University,Georgia State University main,32556.0,151.0,66.0,85.0
GEORGIA,Gwinnett Technical College,Gwinnett Technical College main,7234.0,2.0,1.0,1.0
GEORGIA,Kennesaw State University,Kennesaw State University main,25714.0,99.0,56.0,43.0
GEORGIA,Middle Georgia State College,Middle Georgia State College main,7927.0,30.0,28.0,2.0
GEORGIA,Piedmont College,Piedmont College main,2120.0,5.0,5.0,0.0
GEORGIA,Savannah State University,Savannah State University main,4915.0,62.0,28.0,34.0
GEORGIA,Southern Crescent Technical College,Southern Crescent Technical College main,4898.0,5.0,5.0,0.0
GEORGIA,South Georgia State College,South Georgia State College main,2611.0,11.0,7.0,4.0
GEORGIA,Spelman College,Spelman College main,2135.0,28.0,16.0,12.0
GEORGIA,University of Georgia,University of Georgia main,35197.0,101.0,81.0,20.0
GEORGIA,University of North Georgia,University of North Georgia main,16064.0,42.0,33.0,9.0
GEORGIA,University of West Georgia,University of West Georgia main,12206.0,47.0,28.0,19.0
GEORGIA,Valdosta State University,Valdosta State University main,11563.0,33.0,25.0,8.0
GEORGIA,Wesleyan College,Wesleyan College main,711.0,5.0,5.0,0.0
GEORGIA,West Georgia Technical College,West Georgia Technical College main,6536.0,7.0,7.0,0.0
ILLINOIS,John Wood Community College,John Wood Community College main,1900.0,5.0,4.0,1.0
ILLINOIS,Joliet Junior College,Joliet Junior College main,15776.0,23.0,15.0,8.0
ILLINOIS,Lincoln Land Community College,Lincoln Land Community College main,7006.0,15.0,13.0,2.0
ILLINOIS,Millikin University,Millikin University main,2190.0,16.0,4.0,12.0
ILLINOIS,Northwestern University,Northwestern University Evanston,21554.0,87.0,40.0,47.0
ILLINOIS,Oakton Community College,Oakton Community College main,10589.0,12.0,11.0,1.0
ILLINOIS,Parkland College,Parkland College main,8443.0,19.0,13.0,6.0
ILLINOIS,Southern Illinois University:,Southern Illinois University: Carbondale,17989.0,60.0,41.0,19.0
ILLINOIS,Southern Illinois University:,Southern Illinois University: Edwardsville,13972.0,46.0,36.0,10.0
ILLINOIS,University of Chicago,University of Chicago Cook County,15097.0,96.0,77.0,19.0
ILLINOIS,University of Illinois,University of Illinois Urbana,45140.0,98.0,63.0,35.0
INDIANA,Ball State University,Ball State University main,20655.0,53.0,32.0,21.0
INDIANA,Indiana University:,Indiana University: Bloomington,46416.0,47.0,37.0,10.0
INDIANA,Indiana University:,Indiana University: Southeast,6442.0,14.0,11.0,3.0
INDIANA,Purdue University,Purdue University main,39752.0,56.0,39.0,17.0
IOWA,Iowa State University,Iowa State University main,34435.0,47.0,34.0,13.0
IOWA,University of Iowa,University of Iowa main,29970.0,66.0,35.0,31.0
IOWA,University of Northern Iowa,University of Northern Iowa main,11928.0,27.0,19.0,8.0
KANSAS,Emporia State University,Emporia State University main,6114.0,10.0,9.0,1.0
KANSAS,Fort Hays State University,Fort Hays State University main,13825.0,10.0,9.0,1.0
KANSAS,Kansas State University,Kansas State University main,24766.0,44.0,23.0,21.0
KANSAS,Pittsburg State University,Pittsburg State University main,7479.0,17.0,13.0,4.0
KANSAS,University of Kansas,University of Kansas Main Campus,27180.0,56.0,25.0,31.0
KANSAS,Washburn University,Washburn University main,6722.0,21.0,16.0,5.0
KANSAS,Wichita State University,Wichita State University main,14995.0,39.0,25.0,14.0
KENTUCKY,Eastern Kentucky University,Eastern Kentucky University main,16305.0,31.0,24.0,7.0
KENTUCKY,Kentucky State University,Kentucky State University main,1895.0,13.0,7.0,6.0
KENTUCKY,Morehead State University,Morehead State University main,11052.0,27.0,16.0,11.0
KENTUCKY,Murray State University,Murray State University main,11207.0,16.0,16.0,0.0
KENTUCKY,University of Kentucky,University of Kentucky main,29203.0,161.0,55.0,106.0
KENTUCKY,University of Louisville,University of Louisville main,21561.0,57.0,44.0,13.0
LOUISIANA,Louisiana State University:,Louisiana State University: Baton Rouge,31044.0,72.0,54.0,18.0
LOUISIANA,Louisiana State University:,"Louisiana State University: Health Sciences Center, Shreveport",870.0,40.0,25.0,15.0
LOUISIANA,Louisiana State University:,Louisiana State University: Shreveport,4186.0,8.0,8.0,0.0
LOUISIANA,Southeastern Louisiana University,Southeastern Louisiana University main,14487.0,35.0,23.0,12.0
LOUISIANA,Southern University and A&M College,Southern University and A&M College Baton Rouge,6330.0,35.0,22.0,13.0
LOUISIANA,University of Louisiana ,University of Louisiana  Monroe,8517.0,20.0,15.0,5.0
LOUISIANA,University of New Orleans,University of New Orleans main,9234.0,21.0,20.0,1.0
MAINE,University of Maine:,University of Maine: Farmington,1960.0,4.0,4.0,0.0
MAINE,University of Maine:,University of Maine: Orono,11286.0,25.0,17.0,8.0
MAINE,University of Southern Maine,University of Southern Maine main,8428.0,19.0,11.0,8.0
MARYLAND,Bowie State University,Bowie State University main,5695.0,29.0,14.0,15.0
MARYLAND,Coppin State University,Coppin State University main,3133.0,27.0,14.0,13.0
MARYLAND,Frostburg State University,Frostburg State University main,5645.0,22.0,18.0,4.0
MARYLAND,Hagerstown Community College,Hagerstown Community College main,4615.0,2.0,2.0,0.0
MARYLAND,Morgan State University,Morgan State University main,7698.0,51.0,34.0,17.0
MARYLAND,Salisbury University,Salisbury University main,8770.0,28.0,17.0,11.0
MARYLAND,St. Mary's College,St. Mary's College main,1721.0,15.0,4.0,11.0
MARYLAND,Towson University,Towson University main,22285.0,54.0,38.0,16.0
MARYLAND,University of Baltimore,University of Baltimore main,6422.0,31.0,17.0,14.0
MARYLAND,University of Maryland: ,University of Maryland:  Baltimore City,6276.0,137.0,49.0,88.0
MARYLAND,University of Maryland: ,University of Maryland:  Baltimore County,13979.0,35.0,26.0,9.0
MARYLAND,University of Maryland: ,University of Maryland:  College Park,37610.0,127.0,81.0,46.0
MARYLAND,University of Maryland: ,University of Maryland:  Eastern Shore,4279.0,21.0,17.0,4.0
MASSACHUSETTS,Amherst College,Amherst College main,1792.0,17.0,13.0,4.0
MASSACHUSETTS,Assumption College,Assumption College main,2719.0,25.0,17.0,8.0
MASSACHUSETTS,Babson College,Babson College main,3049.0,28.0,20.0,8.0
MASSACHUSETTS,Becker College,Becker College main,2021.0,17.0,11.0,6.0
MASSACHUSETTS,Bentley University,Bentley University main,5565.0,34.0,24.0,10.0
MASSACHUSETTS,Boston College,Boston College main,14317.0,73.0,50.0,23.0
MASSACHUSETTS,Boston University,Boston University main,32112.0,66.0,50.0,16.0
MASSACHUSETTS,Brandeis University,Brandeis University main,5945.0,22.0,22.0,0.0
MASSACHUSETTS,Bridgewater State University,Bridgewater State University main,11187.0,22.0,21.0,1.0
MASSACHUSETTS,Bristol Community College,Bristol Community College main,9189.0,9.0,7.0,2.0
MASSACHUSETTS,Bunker Hill Community College,Bunker Hill Community College main,14253.0,16.0,14.0,2.0
MASSACHUSETTS,Cape Cod Community College,Cape Cod Community College main,3818.0,3.0,3.0,0.0
MASSACHUSETTS,Clark University,Clark University main,3423.0,15.0,12.0,3.0
MASSACHUSETTS,College of the Holy Cross,College of the Holy Cross main,2787.0,31.0,19.0,12.0
MASSACHUSETTS,Curry College,Curry College main,3141.0,18.0,14.0,4.0
MASSACHUSETTS,Dean College,Dean College main,1325.0,14.0,10.0,4.0
MASSACHUSETTS,Emerson College,Emerson College main,4545.0,21.0,18.0,3.0
MASSACHUSETTS,Endicott College,Endicott College main,4429.0,21.0,10.0,11.0
MASSACHUSETTS,Fisher College,Fisher College main,1875.0,9.0,7.0,2.0
MASSACHUSETTS,Fitchburg State University,Fitchburg State University main,6810.0,24.0,19.0,5.0
MASSACHUSETTS,Framingham State University,Framingham State University main,6499.0,21.0,15.0,6.0
MASSACHUSETTS,Gordon College,Gordon College main,2105.0,8.0,8.0,0.0
MASSACHUSETTS,Greenfield Community College,Greenfield Community College main,2127.0,5.0,4.0,1.0
MASSACHUSETTS,Hampshire College,Hampshire College main,1376.0,13.0,10.0,3.0
MASSACHUSETTS,Harvard University,Harvard University main,28791.0,96.0,77.0,19.0
MASSACHUSETTS,Holyoke Community College,Holyoke Community College main,6604.0,10.0,10.0,0.0
MASSACHUSETTS,Lasell College,Lasell College main,2070.0,34.0,21.0,13.0
MASSACHUSETTS,Massachusetts Bay Community College,Massachusetts Bay Community College main,5369.0,7.0,7.0,0.0
MASSACHUSETTS,Massachusetts College of Art,Massachusetts College of Art main,2095.0,29.0,8.0,21.0
MASSACHUSETTS,Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts main,1765.0,12.0,9.0,3.0
MASSACHUSETTS,Massachusetts Institute of Technology,Massachusetts Institute of Technology main,11319.0,61.0,58.0,3.0
MASSACHUSETTS,Massasoit Community College,Massasoit Community College main,7905.0,19.0,17.0,2.0
MASSACHUSETTS,MCPHS University,MCPHS University main,6935.0,16.0,7.0,9.0
MASSACHUSETTS,Merrimack College,Merrimack College main,3337.0,19.0,14.0,5.0
MASSACHUSETTS,Mount Holyoke College,Mount Holyoke College main,2255.0,17.0,12.0,5.0
MASSACHUSETTS,Mount Waschusett Community College,Mount Waschusett Community College main,4336.0,11.0,10.0,1.0
MASSACHUSETTS,Northeastern University,Northeastern University main,19798.0,101.0,56.0,45.0
MASSACHUSETTS,North Shore Community College,North Shore Community College main,7412.0,25.0,23.0,2.0
MASSACHUSETTS,Quinsigamond Community College,Quinsigamond Community College main,8452.0,14.0,12.0,2.0
MASSACHUSETTS,Regis College,Regis College main,1912.0,11.0,11.0,0.0
MASSACHUSETTS,Salem State University,Salem State University main,9267.0,26.0,21.0,5.0
MASSACHUSETTS,Smith College,Smith College main,2989.0,17.0,13.0,4.0
MASSACHUSETTS,Springfield College,Springfield College main,3178.0,47.0,17.0,30.0
MASSACHUSETTS,Springfield Technical Community College,Springfield Technical Community College main,6622.0,18.0,14.0,4.0
MASSACHUSETTS,Stonehill College,Stonehill College main,2284.0,22.0,16.0,6.0
MASSACHUSETTS,University of Massachusetts:,University of Massachusetts: Amherst,28635.0,75.0,58.0,17.0
MASSACHUSETTS,University of Massachusetts:,University of Massachusetts: Dartmouth,9111.0,31.0,22.0,9.0
MASSACHUSETTS,University of Massachusetts:,"University of Massachusetts: Harbor Campus, Boston",16756.0,36.0,23.0,13.0
MASSACHUSETTS,University of Massachusetts:,"University of Massachusetts: Medical Center, Worcester",1103.0,34.0,26.0,8.0
MASSACHUSETTS,Wellesley College,Wellesley College main,2323.0,16.0,12.0,4.0
MASSACHUSETTS,Wentworth Institute of Technology,Wentworth Institute of Technology main,4558.0,21.0,14.0,7.0
MASSACHUSETTS,Western New England University,Western New England University main,3922.0,27.0,17.0,10.0
MASSACHUSETTS,Westfield State University,Westfield State University main,6321.0,25.0,19.0,6.0
MASSACHUSETTS,Wheaton College,Wheaton College main,1587.0,16.0,13.0,3.0
MASSACHUSETTS,Worcester Polytechnic Institute,Worcester Polytechnic Institute main,6381.0,23.0,18.0,5.0
MICHIGAN,Central Michigan University,Central Michigan University main,26879.0,35.0,21.0,14.0
MICHIGAN,Delta College,Delta College main,9842.0,10.0,7.0,3.0
MICHIGAN,Eastern Michigan University,Eastern Michigan University main,22401.0,49.0,40.0,9.0
MICHIGAN,Ferris State University,Ferris State University main,14600.0,17.0,13.0,4.0
MICHIGAN,Grand Rapids Community College,Grand Rapids Community College main,15668.0,17.0,13.0,4.0
MICHIGAN,Grand Valley State University,Grand Valley State University main,25094.0,34.0,18.0,16.0
MICHIGAN,Kalamazoo Valley Community College,Kalamazoo Valley Community College main,9489.0,7.0,6.0,1.0
MICHIGAN,Kellogg Community College,Kellogg Community College main,5929.0,2.0,2.0,0.0
MICHIGAN,Kirtland Community College,Kirtland Community College main,1773.0,1.0,1.0,0.0
MICHIGAN,Lansing Community College,Lansing Community College main,16031.0,18.0,13.0,5.0
MICHIGAN,Macomb Community College,Macomb Community College main,22914.0,36.0,30.0,6.0
MICHIGAN,Michigan State University,Michigan State University main,50081.0,108.0,81.0,27.0
MICHIGAN,Michigan Technological University,Michigan Technological University main,7099.0,14.0,11.0,3.0
MICHIGAN,Mott Community College,Mott Community College main,8937.0,15.0,12.0,3.0
MICHIGAN,Northern Michigan University,Northern Michigan University main,8781.0,29.0,21.0,8.0
MICHIGAN,Oakland Community College,Oakland Community College main,24031.0,28.0,27.0,1.0
MICHIGAN,Oakland University,Oakland University main,20519.0,28.0,21.0,7.0
MICHIGAN,Saginaw Valley State University,Saginaw Valley State University main,9829.0,13.0,11.0,2.0
MICHIGAN,Schoolcraft College,Schoolcraft College main,11542.0,11.0,10.0,1.0
MICHIGAN,University of Michigan: ,University of Michigan:  Ann Arbor,43625.0,76.0,57.0,19.0
MICHIGAN,University of Michigan: ,University of Michigan:  Dearborn,8923.0,27.0,9.0,18.0
MICHIGAN,University of Michigan: ,University of Michigan:  Flint,8574.0,33.0,18.0,15.0
MICHIGAN,Western Michigan University,Western Michigan University main,23914.0,39.0,29.0,10.0
MINNESOTA,University of Minnesota:,University of Minnesota: Duluth,11093.0,11.0,9.0,2.0
MINNESOTA,University of Minnesota:,University of Minnesota: Morris,1899.0,5.0,3.0,2.0
MINNESOTA,University of Minnesota:,University of Minnesota: Twin Cities,51147.0,62.0,50.0,12.0
MISSISSIPPI,Coahoma Community College,Coahoma Community College main,2045.0,8.0,7.0,1.0
MISSISSIPPI,Jackson State University,Jackson State University main,9508.0,77.0,43.0,34.0
MISSISSIPPI,Mississippi State University,Mississippi State University main,20138.0,43.0,34.0,9.0
MISSISSIPPI,Northeast Mississippi Community College,Northeast Mississippi Community College main,3538.0,7.0,7.0,0.0
MISSISSIPPI,University of Mississippi: ,University of Mississippi:  Medical Center2,0.0,89.0,65.0,24.0
MISSISSIPPI,University of Mississippi: ,University of Mississippi:  Oxford,22503.0,47.0,32.0,15.0
MISSOURI,Jefferson College,Jefferson College main,4882.0,9.0,9.0,0.0
MISSOURI,Metropolitan Community College,Metropolitan Community College main,18222.0,36.0,23.0,13.0
MISSOURI,Mineral Area College,Mineral Area College main,4632.0,9.0,8.0,1.0
MISSOURI,Missouri Southern State University,Missouri Southern State University main,5613.0,8.0,7.0,1.0
MISSOURI,Missouri University of Science and Technology,Missouri University of Science and Technology main,8640.0,18.0,10.0,8.0
MISSOURI,Missouri Western State University,Missouri Western State University main,5834.0,13.0,11.0,2.0
MISSOURI,Northwest Missouri State University,Northwest Missouri State University main,6720.0,14.0,11.0,3.0
MISSOURI,Southeast Missouri State University,Southeast Missouri State University main,12087.0,22.0,19.0,3.0
MISSOURI,St. Charles Community College,St. Charles Community College main,7153.0,11.0,10.0,1.0
MISSOURI,St. Louis Community College: ,St. Louis Community College:  Florissant Valley2,0.0,10.0,8.0,2.0
MISSOURI,St. Louis Community College: ,St. Louis Community College:  Meramec,21218.0,14.0,11.0,3.0
MISSOURI,Truman State University,Truman State University main,6248.0,10.0,9.0,1.0
MISSOURI,University of Central Missouri,University of Central Missouri main,13379.0,25.0,18.0,7.0
MISSOURI,University of Missouri: ,University of Missouri:  Columbia,35425.0,54.0,36.0,18.0
MISSOURI,University of Missouri: ,University of Missouri:  Kansas City,16146.0,40.0,26.0,14.0
MISSOURI,University of Missouri: ,University of Missouri:  St. Louis,17072.0,29.0,23.0,6.0
MISSOURI,Washington University,Washington University main,14348.0,58.0,33.0,25.0
MONTANA,Montana State University,Montana State University main,14982.0,33.0,19.0,14.0
MONTANA,University of Montana,University of Montana main,13952.0,20.0,13.0,7.0
NEBRASKA,Metropolitan Community College,Metropolitan Community College Douglas County,14675.0,23.0,18.0,5.0
