state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
GEORGIA,Augusta University,Augusta University main,8333,2,0,0,1,1,0,136,1,130,5,0
GEORGIA,Bainbridge State College,Bainbridge State College main,2401,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,Berry College,Berry College main,2245,1,0,0,1,0,0,48,5,42,1,0
GEORGIA,Chattahoochee Technical College,Chattahoochee Technical College main,9817,1,0,0,0,0,1,3,0,3,0,0
GEORGIA,Clark Atlanta University,Clark Atlanta University main,3661,12,0,0,0,11,1,75,12,59,4,0
GEORGIA,Clayton State University,Clayton State University main,7012,2,0,0,1,0,1,19,2,17,0,0
GEORGIA,College of Coastal Georgia,College of Coastal Georgia main,3131,0,0,0,0,0,0,25,3,22,0,1
GEORGIA,Columbus State University,Columbus State University main,8440,7,0,0,3,1,3,74,5,67,2,0
GEORGIA,Dalton State College,Dalton State College main,5044,2,0,0,1,0,1,12,1,11,0,0
GEORGIA,Emory University,Emory University main,13788,10,0,0,1,3,6,419,29,388,2,0
GEORGIA,Fort Valley State University,Fort Valley State University main,2696,3,1,0,0,1,1,25,8,17,0,0
GEORGIA,Georgia College and State University,Georgia College and State University main,6889,1,0,0,1,0,0,43,6,29,8,1
GEORGIA,Georgia Gwinnett College,Georgia Gwinnett College main,11468,0,0,0,0,0,0,20,1,19,0,0
GEORGIA,Georgia Institute of Technology,Georgia Institute of Technology main,25034,17,0,0,3,9,5,243,21,217,5,0
GEORGIA,Georgia Military College,Georgia Military College main,7876,0,0,0,0,0,0,1,0,0,1,0
GEORGIA,Georgia Southern University,Georgia Southern University main,20459,3,0,0,2,0,1,121,1,118,2,0
GEORGIA,Georgia Southwestern State University,Georgia Southwestern State University main,2755,0,0,0,0,0,0,56,2,54,0,0
GEORGIA,Georgia State University,Georgia State University main,32058,25,0,0,3,20,2,242,5,234,3,0
GEORGIA,Gordon State College,Gordon State College main,4084,1,0,0,0,1,0,25,13,12,0,0
GEORGIA,Gwinnett Technical College,Gwinnett Technical College main,6959,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,Kennesaw State University,Kennesaw State University main,33252,11,0,0,10,1,0,209,14,184,11,0
GEORGIA,Mercer University,Mercer University main,8600,4,0,0,0,3,1,88,7,71,10,1
GEORGIA,Middle Georgia State University,Middle Georgia State University main,7676,3,0,0,1,1,1,22,3,18,1,0
GEORGIA,Morehouse College,Morehouse College main,2167,3,0,0,0,2,1,127,19,105,3,0
GEORGIA,Piedmont College,Piedmont College main,2264,0,0,0,0,0,0,0,0,0,0,0
GEORGIA,Savannah State University,Savannah State University main,4800,12,0,0,0,4,8,114,20,92,2,0
GEORGIA,Savannah Technical College,Savannah Technical College main,4196,0,0,0,0,0,0,22,0,20,2,0
GEORGIA,Southern Crescent Technical College,Southern Crescent Technical College main,4867,0,0,0,0,0,0,12,0,11,1,0
GEORGIA,South Georgia State College,South Georgia State College main,2648,1,0,0,0,0,1,7,0,7,0,0
GEORGIA,Spelman College,Spelman College main,2144,0,0,0,0,0,0,23,9,14,0,0
GEORGIA,University of Georgia,University of Georgia main,36130,18,0,0,14,2,2,342,38,295,9,0
GEORGIA,University of North Georgia,University of North Georgia main,17289,0,0,0,0,0,0,18,1,17,0,0
GEORGIA,University of West Georgia,University of West Georgia main,12834,7,0,0,7,0,0,49,7,40,2,0
GEORGIA,Valdosta State University,Valdosta State University main,11302,3,0,0,0,2,1,122,11,109,2,0
GEORGIA,Wesleyan College,Wesleyan College main,708,0,0,0,0,0,0,5,0,5,0,0
GEORGIA,West Georgia Technical College,West Georgia Technical College main,6431,0,0,0,0,0,0,22,1,21,0,0
GEORGIA,Young Harris College,Young Harris College main,1204,0,0,0,0,0,0,13,0,13,0,0
ILLINOIS,Black Hawk College: ,Black Hawk College:  Kewanee,0,0,0,0,0,0,0,3,1,2,0,0
ILLINOIS,Black Hawk College: ,Black Hawk College:  Moline,5271,0,0,0,0,0,0,6,0,6,0,0
ILLINOIS,Chicago State University,Chicago State University main,4767,3,0,0,0,2,1,22,0,22,0,0
ILLINOIS,College of Lake County,College of Lake County main,14964,0,0,0,0,0,0,26,3,23,0,0
ILLINOIS,Eastern Illinois University,Eastern Illinois University main,8520,0,0,0,0,0,0,59,2,56,1,0
ILLINOIS,Elgin Community College,Elgin Community College main,10336,0,0,0,0,0,0,10,0,10,0,0
ILLINOIS,Illinois Central College,Illinois Central College main,9704,0,0,0,0,0,0,35,7,28,0,0
ILLINOIS,John Wood Community College,John Wood Community College main,2016,0,0,0,0,0,0,2,0,2,0,0
ILLINOIS,Joliet Junior College,Joliet Junior College main,14944,0,0,0,0,0,0,13,0,13,0,0
ILLINOIS,Kankakee Community College,Kankakee Community College main,3306,0,0,0,0,0,0,1,0,1,0,0
