state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
FLORIDA,Florida State University:,Florida State University: Tallahassee,41173,25,0,13,8,4,441,32,385,24,0
FLORIDA,New College of Florida,New College of Florida main,875,0,0,0,0,0,28,1,27,0,0
FLORIDA,Pensacola State College,Pensacola State College main,9643,2,0,1,1,0,38,7,30,1,1
FLORIDA,Santa Fe College,Santa Fe College main,15404,0,0,0,0,0,19,0,19,0,0
FLORIDA,Tallahassee Community College,Tallahassee Community College main,12200,2,0,2,0,0,63,1,60,2,0
FLORIDA,University of Central Florida,University of Central Florida main,64088,19,0,7,0,12,268,24,236,8,0
FLORIDA,University of Florida,University of Florida main,52367,13,0,5,1,7,323,25,282,16,0
FLORIDA,University of North Florida,University of North Florida main,15762,9,0,4,2,3,64,0,61,3,0
FLORIDA,University of South Florida: ,University of South Florida:  St. Petersburg,4702,0,0,0,0,0,28,1,27,0,0
FLORIDA,University of South Florida: ,University of South Florida:  Tampa,42861,14,0,3,1,10,267,25,221,21,1
FLORIDA,University of West Florida,University of West Florida main,12966,4,0,3,1,0,39,3,36,0,0
GEORGIA,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College main,3475,0,0,0,0,0,32,0,32,0,0
GEORGIA,Agnes Scott College,Agnes Scott College main,927,1,0,1,0,0,18,4,14,0,0
GEORGIA,Albany State University,Albany State University main,3041,0,0,0,0,0,12,0,11,1,0
GEORGIA,Andrew College,Andrew College main,276,0,0,0,0,0,16,4,12,0,0
GEORGIA,Armstrong State University,Armstrong State University main,7157,2,0,2,0,0,39,13,24,2,0
GEORGIA,Athens Technical College,Athens Technical College main,4210,0,0,0,0,0,0,0,0,0,0
GEORGIA,Atlanta Metropolitan State College,Atlanta Metropolitan State College main,2783,3,0,0,1,2,9,0,9,0,0
GEORGIA,Augusta Technical College,Augusta Technical College main,4370,0,0,0,0,0,8,0,7,1,0
GEORGIA,Augusta University,Augusta University main,7938,1,0,1,0,0,174,4,155,15,0
GEORGIA,Bainbridge State College,Bainbridge State College main,2468,0,0,0,0,0,0,0,0,0,0
GEORGIA,Berry College,Berry College main,2174,0,0,0,0,0,57,16,41,0,0
GEORGIA,Chattahoochee Technical College,Chattahoochee Technical College main,9999,0,0,0,0,0,8,0,8,0,0
GEORGIA,Clark Atlanta University,Clark Atlanta University main,3884,11,0,0,11,0,84,7,75,2,0
GEORGIA,Clayton State University,Clayton State University main,6996,0,0,0,0,0,25,0,24,1,0
GEORGIA,College of Coastal Georgia,College of Coastal Georgia main,3529,2,0,0,0,2,4,0,4,0,0
GEORGIA,Columbus State University,Columbus State University main,8407,7,0,3,1,3,67,5,62,0,0
GEORGIA,Dalton State College,Dalton State College main,5188,1,0,0,0,1,5,0,5,0,0
GEORGIA,East Georgia College,East Georgia College main,3152,0,0,0,0,0,18,4,14,0,0
GEORGIA,Emory University,Emory University main,14067,15,0,9,1,5,415,38,373,4,0
GEORGIA,Fort Valley State University,Fort Valley State University main,2679,0,0,0,0,0,26,5,19,2,0
GEORGIA,Georgia College and State University,Georgia College and State University main,6915,4,0,4,0,0,34,1,26,7,0
GEORGIA,Georgia Gwinnett College,Georgia Gwinnett College main,12052,4,0,1,0,3,61,2,59,0,0
GEORGIA,Georgia Institute of Technology,Georgia Institute of Technology main,26839,16,0,5,2,9,298,26,262,10,1
GEORGIA,Georgia Military College,Georgia Military College main,8234,0,0,0,0,0,0,0,0,0,0
GEORGIA,Georgia Southern University,Georgia Southern University main,20673,10,0,6,3,1,119,3,116,0,0
GEORGIA,Georgia Southwestern State University,Georgia Southwestern State University main,2954,4,0,0,0,4,27,0,27,0,0
GEORGIA,Georgia State University,Georgia State University main,32237,21,0,2,14,5,259,4,245,10,0
GEORGIA,Gordon State College,Gordon State College main,3901,1,0,0,1,0,23,3,20,0,0
GEORGIA,Gwinnett Technical College,Gwinnett Technical College main,7479,0,0,0,0,0,6,0,6,0,0
GEORGIA,Kennesaw State University,Kennesaw State University main,35018,12,0,8,3,1,136,17,117,2,1
GEORGIA,Mercer University,Mercer University main,8615,3,0,2,0,1,68,1,63,4,0
GEORGIA,Middle Georgia State University,Middle Georgia State University main,7714,2,0,1,0,1,16,1,14,1,0
GEORGIA,Morehouse College,Morehouse College main,2108,2,0,0,2,0,130,56,70,4,0
GEORGIA,Piedmont College,Piedmont College main,2266,0,0,0,0,0,0,0,0,0,0
GEORGIA,Southern Crescent Technical College,Southern Crescent Technical College main,4703,0,0,0,0,0,5,1,4,0,0
GEORGIA,South Georgia State College,South Georgia State College main,2542,0,0,0,0,0,1,1,0,0,0
GEORGIA,Spelman College,Spelman College main,2125,0,0,0,0,0,21,3,18,0,0
GEORGIA,University of Georgia,University of Georgia main,36574,15,0,12,1,2,316,31,281,4,1
GEORGIA,University of North Georgia,University of North Georgia main,18219,0,0,0,0,0,26,0,26,0,0
GEORGIA,University of West Georgia,University of West Georgia main,13308,3,0,2,0,1,103,20,83,0,0
GEORGIA,Valdosta State University,Valdosta State University main,11375,4,0,1,1,2,139,11,122,6,1
GEORGIA,Wesleyan College,Wesleyan College main,676,2,0,2,0,0,2,0,2,0,0
GEORGIA,West Georgia Technical College,West Georgia Technical College main,6743,0,0,0,0,0,20,0,20,0,0
GEORGIA,Young Harris College,Young Harris College main,1200,3,0,2,0,1,3,0,3,0,0
ILLINOIS,Black Hawk College:,Black Hawk College: Kewanee4,0,0,0,0,0,0,1,0,1,0,0
ILLINOIS,Black Hawk College:,Black Hawk College: Moline,5613,0,0,0,0,0,3,1,2,0,0
ILLINOIS,Chicago State University,Chicago State University main,3578,0,0,0,0,0,36,4,32,0,0
ILLINOIS,College of DuPage,College of DuPage main,26901,1,0,0,1,0,23,0,21,2,0
ILLINOIS,College of Lake County,College of Lake County main,14768,0,0,0,0,0,37,2,35,0,0
ILLINOIS,Eastern Illinois University,Eastern Illinois University main,7415,5,0,3,0,2,33,0,33,0,0
ILLINOIS,Elgin Community College,Elgin Community College main,9918,0,0,0,0,0,5,0,5,0,0
ILLINOIS,Illinois Central College,Illinois Central College main,9290,0,0,0,0,0,26,4,22,0,0
ILLINOIS,Illinois State University,Illinois State University main,21039,13,0,8,0,5,97,11,84,2,1
ILLINOIS,John Wood Community College,John Wood Community College main,1968,0,0,0,0,0,1,0,1,0,0
ILLINOIS,Joliet Junior College,Joliet Junior College main,15383,0,0,0,0,0,13,0,13,0,0
ILLINOIS,Kankakee Community College,Kankakee Community College main,3078,0,0,0,0,0,0,0,0,0,0
ILLINOIS,Lake Land College,Lake Land College main,5107,0,0,0,0,0,3,0,3,0,0
ILLINOIS,Lewis University,Lewis University main,6544,4,0,2,2,0,12,2,10,0,0
ILLINOIS,Lincoln Land Community College,Lincoln Land Community College main,5744,0,0,0,0,0,12,0,11,1,0
ILLINOIS,Loyola University of Chicago,Loyola University of Chicago main,16422,20,0,2,13,5,127,1,123,3,0
ILLINOIS,McHenry County College,McHenry County College main,6371,1,0,0,0,1,5,2,3,0,0
ILLINOIS,Millikin University,Millikin University main,2055,0,0,0,0,0,33,1,32,0,0
ILLINOIS,Moraine Valley Community College,Moraine Valley Community College main,15021,1,0,0,0,1,22,0,22,0,0
ILLINOIS,Morton College,Morton College main,4397,0,0,0,0,0,4,1,3,0,0
ILLINOIS,Northeastern Illinois University,Northeastern Illinois University main,9538,2,0,0,0,2,14,0,13,1,0
ILLINOIS,Northern Illinois University,Northern Illinois University main,19015,11,0,5,0,6,147,26,121,0,0
ILLINOIS,Northwestern University,Northwestern University Evanston,21823,12,0,6,5,1,193,26,165,2,1
ILLINOIS,Oakton Community College,Oakton Community College main,9443,0,0,0,0,0,5,0,5,0,0
ILLINOIS,Parkland College,Parkland College main,7569,2,0,0,0,2,23,0,23,0,0
ILLINOIS,Prairie State College,Prairie State College main,4484,1,0,0,0,1,6,0,6,0,0
ILLINOIS,Rend Lake College,Rend Lake College main,2489,0,0,0,0,0,0,0,0,0,0
ILLINOIS,Southern Illinois University:,Southern Illinois University: Carbondale,15987,5,0,1,2,2,117,6,109,2,0
ILLINOIS,Southern Illinois University:,Southern Illinois University: Edwardsville,14142,5,0,3,0,2,53,3,50,0,0
ILLINOIS,Southern Illinois University:,Southern Illinois University: School of Medicine4,0,0,0,0,0,0,0,0,0,0,0
ILLINOIS,South Suburban College,South Suburban College main,3703,0,0,0,0,0,6,1,5,0,0
ILLINOIS,Southwestern Illinois College,Southwestern Illinois College main,9515,0,0,0,0,0,25,1,23,1,0
ILLINOIS,Triton College,Triton College main,11386,2,0,0,1,1,20,0,20,0,0
ILLINOIS,University of Chicago,University of Chicago Cook County,15775,19,0,0,8,11,214,21,189,4,0
ILLINOIS,University of Illinois:,University of Illinois: Springfield,5428,2,0,0,0,2,30,5,25,0,0
ILLINOIS,University of Illinois:,University of Illinois: Urbana,46951,22,0,12,4,6,316,10,305,1,1
ILLINOIS,Waubonsee Community College,Waubonsee Community College main,10081,0,0,0,0,0,22,0,22,0,0
ILLINOIS,Western Illinois University,Western Illinois University main,10373,11,0,9,0,2,83,6,77,0,1
INDIANA,Ball State University,Ball State University main,21998,11,0,9,1,1,204,22,177,5,0
INDIANA,Indiana State University,Indiana State University main,13565,15,0,1,0,14,53,0,51,2,0
INDIANA,Indiana University:,Indiana University: Bloomington,49695,18,0,7,2,9,433,55,371,7,0
INDIANA,Indiana University:,Indiana University: Indianapolis,29804,14,0,6,5,3,252,18,223,11,2
INDIANA,Indiana University:,Indiana University: Northwest,5591,0,0,0,0,0,20,0,20,0,0
INDIANA,Indiana University:,Indiana University: Southeast,5874,2,0,2,0,0,6,0,6,0,0
INDIANA,Marian University,Marian University main,3165,1,0,1,0,0,20,1,17,2,0
INDIANA,Purdue University,Purdue University main,41513,18,0,6,1,11,308,18,284,6,0
