state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
TEXAS,Amarillo College,Amarillo College main,10195,1,0,0,0,1,13,0,13,0,0
TEXAS,Angelo State University,Angelo State University main,9581,1,0,1,0,0,35,2,31,2,0
TEXAS,Austin College,Austin College main,1278,1,0,1,0,0,39,8,30,1,1
TEXAS,Baylor Health Care System4,Baylor Health Care System4 main,0,2,0,0,2,0,325,15,297,13,0
TEXAS,Baylor University,Baylor University Waco,16959,7,0,4,2,1,219,15,193,11,0
TEXAS,Brookhaven College,Brookhaven College main,12775,0,0,0,0,0,6,1,5,0,0
TEXAS,Central Texas College,Central Texas College main,18117,1,0,0,0,1,14,1,13,0,0
TEXAS,Cisco College,Cisco College main,3244,1,0,1,0,0,8,0,8,0,0
TEXAS,College of the Mainland,College of the Mainland main,3995,0,0,0,0,0,13,1,12,0,0
TEXAS,El Paso Community College,El Paso Community College main,29460,1,0,0,0,1,28,3,23,2,0
TEXAS,Grayson College,Grayson College main,4600,1,0,0,0,1,15,2,13,0,0
TEXAS,Hardin-Simmons University,Hardin-Simmons University main,2205,2,0,0,0,2,19,2,17,0,0
TEXAS,Houston Baptist University,Houston Baptist University main,3270,2,0,0,2,0,40,11,28,1,0
TEXAS,Houston Community College,Houston Community College main,57032,10,0,1,8,1,176,11,149,16,0
TEXAS,Lamar University,Lamar University Beaumont,15001,7,0,2,0,5,53,3,47,3,0
TEXAS,Laredo Community College,Laredo Community College main,9176,2,0,0,0,2,7,0,7,0,0
TEXAS,Midwestern State University,Midwestern State University main,6064,9,0,8,0,1,64,11,53,0,0
TEXAS,Paris Junior College,Paris Junior College main,4806,1,0,0,0,1,4,0,4,0,0
TEXAS,Prairie View A&M University,Prairie View A&M University main,8782,12,0,7,2,3,57,27,30,0,0
TEXAS,Rice University,Rice University main,6855,5,0,0,2,3,187,3,183,1,0
TEXAS,Southern Methodist University,Southern Methodist University main,11739,7,0,4,0,3,119,5,110,4,0
TEXAS,South Plains College,South Plains College main,9478,0,0,0,0,0,13,3,9,1,0
TEXAS,Southwestern University,Southwestern University main,1489,0,0,0,0,0,20,4,16,0,0
TEXAS,Stephen F. Austin State University,Stephen F. Austin State University main,12742,4,0,4,0,0,45,3,42,0,0
TEXAS,St. Mary's University,St. Mary's University main,3567,7,0,2,1,4,34,4,30,0,0
TEXAS,St. Thomas University,St. Thomas University main,3247,0,0,0,0,0,25,0,25,0,0
TEXAS,Sul Ross State University,Sul Ross State University main,2944,0,0,0,0,0,24,7,17,0,0
TEXAS,Tarleton State University,Tarleton State University main,13049,5,0,3,0,2,66,9,56,1,0
TEXAS,Texas A&M International University,Texas A&M International University main,7390,4,0,2,1,1,26,5,21,0,0
TEXAS,Texas A&M University: ,Texas A&M University:  Central Texas,2619,0,0,0,0,0,2,0,2,0,0
TEXAS,Texas A&M University: ,Texas A&M University:  College Station,65632,19,0,10,1,8,390,31,347,12,0
TEXAS,Texas A&M University: ,Texas A&M University:  Commerce,13514,7,0,4,1,2,77,32,45,0,0
TEXAS,Texas A&M University: ,Texas A&M University:  Galveston4,0,0,0,0,0,0,16,2,14,0,0
TEXAS,Texas A&M University: ,Texas A&M University:  Kingsville,9278,6,0,5,0,1,64,7,57,0,0
TEXAS,Texas A&M University: ,Texas A&M University:  San Antonio,5474,0,0,0,0,0,9,0,9,0,0
TEXAS,Texas Christian University,Texas Christian University main,10394,5,0,3,1,1,93,13,70,10,0
TEXAS,Texas State Technical College:,Texas State Technical College: Harlingen4,0,1,0,1,0,0,15,0,15,0,0
TEXAS,Texas State Technical College:,Texas State Technical College: Waco4,0,12,0,7,1,4,59,16,43,0,1
TEXAS,Texas State Technical College:,Texas State Technical College: West Texas4,0,0,0,0,0,0,1,0,1,0,0
TEXAS,Texas Tech University,Texas Tech University Lubbock6,36551,15,1,5,1,8,436,15,412,9,0
TEXAS,Texas Woman's University,Texas Woman's University main,15655,3,0,3,0,0,40,2,38,0,0
TEXAS,Tyler Junior College,Tyler Junior College main,11493,3,0,2,0,1,31,5,25,1,0
TEXAS,University of Houston:,University of Houston: Central Campus,43774,25,0,10,10,5,440,32,383,25,2
TEXAS,University of Houston:,University of Houston: Clearlake,8669,2,0,2,0,0,24,0,23,1,0
TEXAS,University of Houston:,University of Houston: Downtown Campus,14251,0,0,0,0,0,40,1,35,4,0
TEXAS,University of North Texas,University of North Texas Denton,38145,9,0,5,0,4,169,14,149,6,1
TEXAS,University of Texas:,University of Texas: Arlington,45282,13,0,4,3,6,125,14,109,2,0
TEXAS,University of Texas:,University of Texas: Austin,51331,15,1,6,3,5,380,17,355,8,2
TEXAS,University of Texas:,University of Texas: Dallas,26793,3,0,2,0,1,194,7,185,2,0
TEXAS,University of Texas:,University of Texas: El Paso,23922,6,0,5,0,1,132,13,118,1,0
TEXAS,University of Texas:,"University of Texas: Health Science Center, San Antonio6",3250,0,0,0,0,0,42,0,41,1,0
TEXAS,University of Texas:,"University of Texas: Health Science Center, Tyler",12,3,0,0,0,3,11,0,11,0,0
TEXAS,University of Texas:,University of Texas: Houston,5411,2,0,1,0,1,275,20,250,5,0
TEXAS,University of Texas:,University of Texas: Medical Branch,3277,0,0,0,0,0,82,0,81,1,1
TEXAS,University of Texas:,University of Texas: Permian Basin,6673,1,0,0,0,1,15,6,8,1,0
TEXAS,University of Texas:,University of Texas: Rio Grande Valley,27560,4,0,1,0,3,91,16,75,0,0
TEXAS,University of Texas:,University of Texas: San Antonio,28959,9,0,6,2,1,126,5,117,4,0
TEXAS,University of Texas:,University of Texas: Southwestern Medical School,2316,6,0,1,0,5,175,7,163,5,0
TEXAS,University of Texas:,University of Texas: Tyler,9835,2,0,1,0,1,31,4,26,1,0
TEXAS,West Texas A&M University,West Texas A&M University main,9901,2,0,1,0,1,56,4,52,0,0
UTAH,Brigham Young University,Brigham Young University main,34240,5,0,1,0,4,158,2,151,5,1
UTAH,Southern Utah University,Southern Utah University main,9299,1,0,1,0,0,19,3,16,0,0
UTAH,University of Utah,University of Utah main,31860,12,1,6,0,5,395,32,326,37,0
UTAH,Utah State University:,Utah State University: Eastern4,0,1,0,1,0,0,10,3,7,0,0
UTAH,Utah State University:,Utah State University: Logan,28118,4,0,4,0,0,20,2,17,1,0
UTAH,Utah Valley University,Utah Valley University main,34978,1,0,0,0,1,65,3,62,0,0
UTAH,Weber State University,Weber State University main,26809,3,0,2,1,0,28,6,20,2,0
VERMONT,University of Vermont,University of Vermont main,13105,5,0,4,0,1,103,5,98,0,2
VIRGINIA,Bridgewater College,Bridgewater College main,1882,0,0,0,0,0,14,0,13,1,0
VIRGINIA,Christopher Newport University,Christopher Newport University main,5042,1,0,0,0,1,84,1,79,4,0
VIRGINIA,Eastern Virginia Medical School,Eastern Virginia Medical School main,1130,1,0,1,0,0,35,0,35,0,0
VIRGINIA,Emory and Henry College,Emory and Henry College main,1167,0,0,0,0,0,3,0,3,0,0
VIRGINIA,Ferrum College,Ferrum College main,1294,2,0,0,2,0,21,0,21,0,0
VIRGINIA,George Mason University,George Mason University main,34909,2,0,2,0,0,125,5,119,1,0
VIRGINIA,Hampton University,Hampton University main,4646,6,0,4,0,2,27,6,21,0,0
VIRGINIA,James Madison University,James Madison University main,21270,4,0,1,0,3,109,7,97,5,2
VIRGINIA,J. Sargeant Reynolds Community College,J. Sargeant Reynolds Community College main,10375,1,0,0,0,1,13,0,13,0,0
VIRGINIA,Longwood University,Longwood University main,4884,1,0,1,0,0,23,0,22,1,0
VIRGINIA,Norfolk State University,Norfolk State University main,5421,7,0,4,3,0,92,6,86,0,2
VIRGINIA,Northern Virginia Community College,Northern Virginia Community College main,50835,1,0,0,1,0,52,0,51,1,0
VIRGINIA,Old Dominion University,Old Dominion University main,24322,32,0,7,3,22,255,18,231,6,0
VIRGINIA,Radford University,Radford University main,9401,4,0,3,0,1,66,6,56,4,3
VIRGINIA,Richard Bland College,Richard Bland College main,2409,0,0,0,0,0,9,0,9,0,0
VIRGINIA,University of Mary Washington,University of Mary Washington main,4726,5,0,4,1,0,48,1,47,0,0
VIRGINIA,University of Richmond,University of Richmond main,4131,4,0,3,0,1,90,13,75,2,0
VIRGINIA,University of Virginia's College at Wise,University of Virginia's College at Wise main,2212,0,0,0,0,0,9,5,4,0,0
VIRGINIA,Virginia Commonwealth University,Virginia Commonwealth University main,30872,22,0,7,2,13,492,8,478,6,2
VIRGINIA,Virginia Military Institute,Virginia Military Institute main,1713,0,0,0,0,0,21,9,12,0,0
VIRGINIA,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University main,33170,8,0,4,0,4,204,34,170,0,0
VIRGINIA,Virginia State University,Virginia State University main,4584,14,0,3,7,4,48,4,43,1,0
VIRGINIA,Virginia Western Community College,Virginia Western Community College main,7719,0,0,0,0,0,2,0,2,0,0
WASHINGTON,Central Washington University,Central Washington University main,11971,5,0,5,0,0,129,8,118,3,0
WASHINGTON,Eastern Washington University,Eastern Washington University main,12279,6,0,6,0,0,31,4,27,0,0
WASHINGTON,Evergreen State College,Evergreen State College main,4089,1,0,1,0,0,40,0,39,1,0
WASHINGTON,University of Washington,University of Washington main,45591,18,0,7,7,4,536,52,476,8,1
WASHINGTON,Washington State University: ,Washington State University:  Pullman,30142,9,0,7,0,2,88,17,70,1,0
WASHINGTON,Washington State University: ,Washington State University:  Vancouver4,0,1,0,1,0,0,3,0,2,1,0
WASHINGTON,Western Washington University,Western Washington University main,15574,0,0,0,0,0,142,9,133,0,0
WEST VIRGINIA,Marshall University,Marshall University main,13647,12,0,3,2,7,72,6,66,0,0
WEST VIRGINIA,Shepherd University,Shepherd University main,3779,1,0,1,0,0,9,2,7,0,0
WEST VIRGINIA,West Virginia University,West Virginia University main,28488,30,0,11,4,15,255,9,243,3,1
WISCONSIN,Marquette University ,Marquette University  main,11294,33,0,5,15,13,355,42,280,33,1
WISCONSIN,University of Wisconsin:,University of Wisconsin: Eau Claire,10747,3,0,2,0,1,79,8,71,0,1
WISCONSIN,University of Wisconsin:,University of Wisconsin: Green Bay,7029,1,0,1,0,0,19,2,17,0,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: La Crosse,10637,1,0,1,0,0,72,0,72,0,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: Madison,42582,6,0,6,0,0,259,46,210,3,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: Milwaukee,25601,5,0,5,0,0,121,20,99,2,1
WISCONSIN,University of Wisconsin:,University of Wisconsin: Oshkosh,13958,5,0,3,0,2,45,14,31,0,1
WISCONSIN,University of Wisconsin:,University of Wisconsin: Parkside,4371,4,0,2,0,2,29,3,26,0,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: Platteville,8779,1,0,1,0,0,35,4,30,1,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: River Falls,5938,2,0,1,0,1,56,5,51,0,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: Stevens Point,8627,0,0,0,0,0,43,2,41,0,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: Stout,9633,3,0,1,0,2,99,4,95,0,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: Superior,2489,3,0,3,0,0,24,1,23,0,0
WISCONSIN,University of Wisconsin:,University of Wisconsin: Whitewater6,12657,5,0,3,2,0,55,5,49,1,0
WYOMING,University of Wyoming,University of Wyoming main,12366,0,0,0,0,0,103,7,95,1,0
