state,university/college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,property_crime,burglary,larceny-_theft,motor_vehicle_theft,arson
COLORADO,Pikes Peak Community College,Pikes Peak Community College main,18666,0,0,0,0,14,2,12,0,0
COLORADO,Red Rocks Community College,Red Rocks Community College main,13644,0,0,0,0,13,0,13,0,0
COLORADO,University of Colorado:,University of Colorado: Boulder,37921,11,0,1,0,605,24,575,6,10
COLORADO,University of Colorado:,University of Colorado: Colorado Springs,16743,6,0,0,0,68,1,64,3,0
COLORADO,University of Colorado:,University of Colorado: Denver,31281,3,0,1,1,115,0,101,14,1
COLORADO,University of Northern Colorado,University of Northern Colorado main,15365,6,0,0,0,84,6,77,1,0
CONNECTICUT,Central Connecticut State University,Central Connecticut State University main,13930,1,0,0,1,24,1,22,1,0
CONNECTICUT,Eastern Connecticut State University,Eastern Connecticut State University main,6068,0,0,0,0,15,0,15,0,0
CONNECTICUT,Southern Connecticut State University,Southern Connecticut State University main,11978,0,0,0,0,20,2,17,1,2
CONNECTICUT,University of Connecticut,"University of Connecticut Storrs, Avery Point, and Hartford4",0,8,0,1,1,146,14,104,28,2
CONNECTICUT,Western Connecticut State University,Western Connecticut State University main,6853,2,0,0,0,26,3,23,0,0
CONNECTICUT,Yale University,Yale University main,13613,4,0,1,2,252,31,217,4,0
DELAWARE,Delaware State University,Delaware State University main,5162,6,0,1,2,75,9,65,1,1
DELAWARE,University of Delaware,University of Delaware main,24855,10,0,2,4,125,2,122,1,1
FLORIDA,Florida A&M University,Florida A&M University main,10797,1,0,0,1,64,32,30,2,0
FLORIDA,Florida Atlantic University,Florida Atlantic University main,37793,7,0,2,2,104,18,80,6,0
FLORIDA,Florida Gulf Coast University,Florida Gulf Coast University main,16732,2,0,0,0,38,2,36,0,0
FLORIDA,Florida International University,Florida International University main,68005,6,0,1,5,258,20,230,8,0
FLORIDA,Florida Polytechnic University,Florida Polytechnic University main,1370,1,0,0,0,1,0,1,0,0
FLORIDA,Florida SouthWestern State College,Florida SouthWestern State College main,21624,0,0,0,0,6,0,6,0,0
FLORIDA,Florida State University:,Florida State University: Panama City4,0,0,0,0,0,5,0,5,0,0
FLORIDA,Florida State University:,Florida State University: Tallahassee,46686,12,0,3,4,453,44,372,37,1
FLORIDA,New College of Florida,New College of Florida main,899,2,0,0,0,17,0,17,0,0
FLORIDA,Northwest Florida State College,Northwest Florida State College main,8079,0,0,0,0,4,3,1,0,0
FLORIDA,Pensacola State College,Pensacola State College main,13602,0,0,0,0,25,4,19,2,0
FLORIDA,Santa Fe College,Santa Fe College main,20335,1,0,1,0,17,2,15,0,0
FLORIDA,Tallahassee Community College,Tallahassee Community College main,16979,4,0,1,3,47,6,39,2,0
FLORIDA,University of Central Florida,University of Central Florida main,75824,15,0,3,5,211,14,190,7,0
FLORIDA,University of Florida,University of Florida main,58993,16,0,2,7,384,31,331,22,0
FLORIDA,University of North Florida,University of North Florida main,19013,1,0,0,0,60,3,57,0,0
FLORIDA,University of South Florida:,University of South Florida: St. Petersburg,5731,0,0,0,0,25,2,22,1,0
FLORIDA,University of South Florida:,University of South Florida: Tampa,50961,7,0,1,2,236,12,216,8,0
FLORIDA,University of West Florida,University of West Florida main,16517,1,0,0,0,23,2,19,2,0
GEORGIA,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College main,4012,1,0,0,0,13,0,12,1,0
GEORGIA,Agnes Scott College,Agnes Scott College main,981,0,0,0,0,14,1,13,0,0
GEORGIA,Albany State University,Albany State University main,9171,0,0,0,0,5,1,4,0,0
GEORGIA,Albany Technical College,Albany Technical College main,4798,0,0,0,0,1,0,1,0,0
GEORGIA,Andrew College,Andrew College main,320,0,0,0,0,16,2,13,1,0
GEORGIA,Athens Technical College,Athens Technical College main,5859,0,0,0,0,0,0,0,0,0
GEORGIA,Atlanta Metropolitan State College,Atlanta Metropolitan State College main,4068,2,0,0,2,19,0,19,0,0
GEORGIA,Augusta Technical College,Augusta Technical College main,6284,0,0,0,0,3,0,3,0,0
GEORGIA,Augusta University,Augusta University main,8998,4,0,2,0,161,7,153,1,0
GEORGIA,Bainbridge State College,Bainbridge State College main,3193,0,0,0,0,0,0,0,0,0
GEORGIA,Berry College,Berry College main,2339,0,0,0,0,31,4,27,0,0
GEORGIA,Chattahoochee Technical College,Chattahoochee Technical College main,14643,0,0,0,0,7,0,7,0,0
GEORGIA,Clark Atlanta University,Clark Atlanta University main,4263,4,0,1,3,69,10,57,2,0
GEORGIA,College of Coastal Georgia,College of Coastal Georgia main,4372,1,0,0,0,23,3,20,0,0
GEORGIA,Columbus State University,Columbus State University main,10295,3,0,1,0,56,2,53,1,0
GEORGIA,Dalton State College,Dalton State College main,6043,1,0,0,1,3,0,3,0,0
GEORGIA,East Georgia State College,East Georgia State College main,3777,0,0,0,0,5,0,5,0,0
GEORGIA,Emory University,Emory University main,15653,17,0,2,0,380,33,340,7,0
GEORGIA,Fort Valley State University,Fort Valley State University main,3044,1,0,0,0,16,2,14,0,0
GEORGIA,Georgia College and State University,Georgia College and State University main,7989,2,0,0,0,39,5,31,3,0
GEORGIA,Georgia Gwinnett College,Georgia Gwinnett College main,14770,7,0,0,6,56,1,54,1,0
GEORGIA,Georgia Institute of Technology,Georgia Institute of Technology main,31513,3,0,0,1,305,65,231,9,0
GEORGIA,Georgia Military College,Georgia Military College main,14343,0,0,0,0,0,0,0,0,0
GEORGIA,Georgia Southern University,Georgia Southern University main,23596,12,0,2,1,147,1,146,0,0
GEORGIA,Georgia Southwestern State University5,Georgia Southwestern State University main,3646,6,0,0,5,17,0,16,1,0
GEORGIA,Georgia State University,Georgia State University main,38370,20,0,9,5,178,10,164,4,0
GEORGIA,Gordon State College,Gordon State College main,4523,0,0,0,0,20,3,17,0,0
GEORGIA,Gwinnett Technical College,Gwinnett Technical College main,11152,0,0,0,0,1,0,1,0,0
GEORGIA,Kennesaw State University,Kennesaw State University main,40676,9,0,1,2,143,22,118,3,0
GEORGIA,Mercer University,Mercer University main,9597,7,0,0,5,67,4,60,3,0
GEORGIA,Middle Georgia State University,Middle Georgia State University main,9429,3,0,1,1,16,8,8,0,0
GEORGIA,Morehouse College,Morehouse College main,2219,2,0,1,1,90,27,60,3,0
GEORGIA,Piedmont College,Piedmont College main,3088,0,0,0,0,0,0,0,0,0
GEORGIA,Savannah Technical College,Savannah Technical College main,6050,0,0,0,0,4,0,4,0,0
GEORGIA,Southern Crescent Technical College,Southern Crescent Technical College main,6558,0,0,0,0,14,0,14,0,0
GEORGIA,Southern Regional Technical College,Southern Regional Technical College main,4957,0,0,0,0,0,0,0,0,0
GEORGIA,Spelman College,Spelman College main,2166,2,0,0,2,8,1,7,0,0
GEORGIA,University of Georgia,University of Georgia main,40462,14,0,1,5,252,40,208,4,0
GEORGIA,University of North Georgia,University of North Georgia main,21419,0,0,0,0,26,0,26,0,0
GEORGIA,University of West Georgia,University of West Georgia main,15672,3,0,1,1,61,4,54,3,0
GEORGIA,Valdosta State University,Valdosta State University main,13710,1,0,0,1,139,4,131,4,0
GEORGIA,Wesleyan College,Wesleyan College main,848,0,0,0,0,2,1,1,0,0
GEORGIA,West Georgia Technical College,West Georgia Technical College main,9696,0,0,0,0,14,0,14,0,0
ILLINOIS,Chicago State University,Chicago State University main,4210,0,0,0,0,13,2,11,0,0
ILLINOIS,College of DuPage,College of DuPage main,45144,3,0,0,0,22,1,21,0,0
ILLINOIS,College of Lake County,College of Lake County main,24345,0,0,0,0,49,0,49,0,0
ILLINOIS,Eastern Illinois University,Eastern Illinois University main,8590,8,0,0,5,32,4,27,1,0
ILLINOIS,Elgin Community College,Elgin Community College main,15211,0,0,0,0,13,0,13,0,0
ILLINOIS,Illinois Central College,Illinois Central College main,13461,0,0,0,0,17,0,17,0,0
ILLINOIS,Illinois State University,Illinois State University main,23330,10,0,0,3,77,7,70,0,0
ILLINOIS,John Wood Community College,John Wood Community College main,2925,0,0,0,0,5,0,5,0,0
ILLINOIS,Joliet Junior College,Joliet Junior College main,22351,1,0,0,1,4,0,4,0,0
ILLINOIS,Lake Land College,Lake Land College main,20207,0,0,0,0,0,0,0,0,0
ILLINOIS,Lewis University,Lewis University main,8101,2,0,0,0,22,1,21,0,0
ILLINOIS,Lincoln Land Community College,Lincoln Land Community College main,11353,0,0,0,0,3,0,3,0,0
ILLINOIS,Millikin University,Millikin University main,2258,0,0,0,0,39,2,37,0,0
ILLINOIS,Morton College,Morton College main,6647,0,0,0,0,8,0,8,0,0
ILLINOIS,Northeastern Illinois University,Northeastern Illinois University main,11873,4,0,1,2,10,0,10,0,0
ILLINOIS,Northern Illinois University,Northern Illinois University main,21615,17,0,1,6,124,10,112,2,1
ILLINOIS,Oakton Community College,Oakton Community College main,18527,0,0,0,0,7,0,7,0,0
ILLINOIS,Parkland College,Parkland College main,12686,1,0,0,1,11,0,11,0,0
ILLINOIS,Rend Lake College,Rend Lake College main,5773,0,0,0,0,1,0,1,0,0
ILLINOIS,Southern Illinois University:,Southern Illinois University: Carbondale,17873,3,0,0,3,96,7,86,3,1
ILLINOIS,Southern Illinois University:,Southern Illinois University: School of Medicine4,0,0,0,0,0,0,0,0,0,0
ILLINOIS,South Suburban College,South Suburban College main,9610,1,0,0,1,8,1,7,0,0
ILLINOIS,Southwestern Illinois College,Southwestern Illinois College main,17176,4,0,2,2,36,3,33,0,0
ILLINOIS,Triton College,Triton College main,18537,1,0,1,0,18,0,18,0,0
